rank,name,number_students,student_staff_ratio,intl_students,female_male_ratio,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,address,street_address,locality_address,region_address,postcode_address,country_address
1,University of Oxford,21750,10.9,42,49,98.5,96.6,100.0,99.0,98.7,97.5,"University Offices, Wellington Square, Oxford, Oxfordshire, OX1 2JD, United Kingdom",,,,,
2,Stanford University,14517,6.4,23,47,98.0,99.0,97.8,99.6,100.0,87.0,"450 Jane Stanford Way, Stanford, California, 94305, United States",,,,,
3,Massachusetts Institute of Technology,11085,8.0,33,41,97.9,98.6,96.2,99.7,100.0,93.8,"77 Massachusetts Avenue, Cambridge, Massachusetts, 02139-4307, United States",,,,,
4,Harvard University,20050,9.0,25,51,97.8,97.7,99.9,99.4,84.2,90.8,"Massachusetts Hall, Cambridge, Massachusetts, 02138, United States",,,,,
5,University of Cambridge,20565,11.5,38,48,97.5,95.8,100.0,98.0,87.9,97.4,"The Old Schools, Trinity Lane, Cambridge, Cambridgeshire, CB2 1TN, United Kingdom",,,,,
6,Princeton University,7753,7.3,23,47,96.9,96.3,97.9,98.8,95.1,89.1,"Princeton, New Jersey, 08544, United States",,,,,
7,California Institute of Technology,2240,6.1,33,37,96.5,96.6,98.0,95.9,100.0,90.6,"1200 East California Boulevard, Pasadena, California, 91125, United States",,,,,
8,Imperial College London,20275,11.8,61,42,95.1,90.9,95.5,98.6,90.9,98.3,"South Kensington Road, London, Kensington and Chelsea, SW7 2AZ, United Kingdom",,,,,
9,"University of California, Berkeley",39991,17.9,22,52,94.6,87.2,98.8,99.0,99.4,86.8,"110 Sproul Hall, Berkeley, California, 94704, United States",,,,,
10,Yale University,11924,5.2,21,51,94.2,94.0,94.9,97.7,86.5,82.4,"New Haven, Connecticut, 06520, United States",,,,,
11,ETH Zurich,22619,15.4,43,33,93.1,87.6,96.8,95.6,82.9,95.6,"Ramistrasse 101, Zurich, Canton of Zurich, 8092, Switzerland",,,,,
12,Tsinghua University,38518,11.2,10,,92.4,95.3,98.1,93.2,99.9,51.7,"1 Qinqhuayuan, Beijing, Hebei Province, 100084, China",,,,,
13,The University of Chicago,15792,6.2,36,47,92.1,89.6,91.2,97.6,93.8,82.3,"Edward H. Levi Hall, 5801 South Ellis Avenue, Chicago, Illinois, 60637, United States",,,,,
14,Peking University,33064,10.9,14,,91.8,95.6,97.3,87.2,98.8,70.2,"No.5 Yiheyuan Road, Haidian District, Beijing, 100871, China",,,,,
15,Johns Hopkins University,15772,4.1,28,56,91.1,84.4,92.3,97.2,100.0,84.2,"Baltimore, Maryland, 21218, United States",,,,,
16,University of Pennsylvania,21312,6.2,22,54,91.0,87.7,89.7,97.6,97.7,78.8,"3451 Walnut Street, Philadelphia, Pennsylvania, 19104, United States",,,,,
17,Columbia University,25914,5.2,35,,90.9,88.6,89.7,97.4,75.2,86.9,"116th and Broadway, New York, 10027, United States",,,,,
18,"University of California, Los Angeles",42634,9.6,15,56,90.1,85.7,91.9,96.4,92.3,74.3,"405 Hilgard Ave, Los Angeles, California, 90095, United States",,,,,
19,National University of Singapore,33334,20.0,24,49,90.0,78.8,94.0,95.4,100.0,91.1,"21 Lower Kent Ridge Road, Singapore, 119077, Singapore",,,,,
20,Cornell University,23620,10.0,24,51,89.5,85.7,88.7,97.6,69.4,86.0,"Day Hall Lobby, Ithaca, New York, 14853, United States",,,,,
21,University of Toronto,79282,25.8,27,56,88.6,77.5,94.1,92.8,96.1,90.7,,,,,,
22,UCL,41110,11.3,61,59,88.1,78.4,86.4,98.6,75.2,97.9,"Gower Street, London, Camden, WC1E 6BT, United Kingdom",,,,,
23,University of Michigan-Ann Arbor,45783,8.1,16,51,87.4,84.7,87.4,95.5,80.7,69.0,"500 South State Street, Ann Arbor, Michigan, 48109, United States",,,,,
24,Carnegie Mellon University,13562,11.9,44,44,86.3,75.0,84.6,98.9,87.3,85.5,"5000 Forbes Avenue, Pittsburgh, Pennsylvania, 15213, United States",,,,,
25,University of Washington,49486,10.1,16,56,85.3,78.0,83.5,98.2,77.6,73.2,"1410 Northeast Campus Parkway, Seattle, Washington, 98195, United States",,,,,
26,Duke University,15527,3.9,18,52,83.9,79.3,76.1,96.2,100.0,74.8,"2080 Duke University Road, Durham, North Carolina, 27708, United States",,,,,
27,New York University,48461,11.8,42,58,83.5,73.2,84.0,94.9,75.4,80.7,"70 Washington Square South, New York, 10012, United States",,,,,
28,Northwestern University,18894,13.1,18,52,83.2,72.3,78.8,97.8,99.7,75.9,"633 Clark Street, Evanston, Illinois, 60208, United States",,,,,
29,The University of Tokyo,26345,10.3,15,,83.1,93.9,94.2,67.8,100.0,49.7,"7-3-1 Hongo, Bunkyo, Tokyo, 113-8654, Japan",,,,,
=30,University of Edinburgh,33940,11.5,46,61,82.5,70.7,77.5,96.9,71.1,97.0,"Old College, South Bridge, Edinburgh, EH8 9YL, United Kingdom",,,,,
=30,Technical University of Munich,35506,44.4,39,37,82.5,69.8,85.1,90.0,100.0,83.1,"Arcisstrasse 21, Munich, Bavaria, 80333, Germany",,,,,
32,"Nanyang Technological University, Singapore",25895,16.7,27,49,82.3,66.2,80.9,94.5,99.7,93.3,"50 Nanyang Avenue, Singapore, 639798, Singapore",,,,,
33,École Polytechnique Fédérale de Lausanne,12543,13.5,64,30,81.4,74.5,73.2,90.3,99.8,95.8,"Route Cantonale, Lausanne, Vaud, 1015, Switzerland",,,,,
34,"University of California, San Diego",40596,12.0,19,45,81.0,66.0,78.4,97.6,100.0,74.3,"9500 Gilman Dr, La Jolla, California, 92093, United States",,,,,
35,University of Hong Kong,18103,18.3,43,55,80.3,65.6,72.3,96.4,95.2,96.8,"Pok Fu Lam Road, 9/F, Knowles Building, Pokfulam, Hong Kong, Hong Kong",,,,,
36,Georgia Institute of Technology,32079,28.0,29,34,80.0,63.4,78.9,94.1,94.6,84.8,"North Avenue, Atlanta, Georgia, 30332, United States",,,,,
37,University of Melbourne,51307,25.1,47,58,79.2,64.8,76.4,90.1,98.3,92.7,,,,,,
=38,King’s College London,32835,13.9,53,63,79.0,59.8,75.1,97.7,74.2,97.5,"King's College London, Strand, London, Westminster, WC2R 2LS, United Kingdom",,,,,
=38,LMU Munich,34622,33.5,18,62,79.0,65.3,76.8,92.2,100.0,76.9,"Geschwister-Scholl-Platz 1, Munich, 80539, Germany",,,,,
40,Paris Sciences et Lettres – PSL Research University Paris,16120,15.0,22,51,78.5,75.7,72.8,83.2,99.7,81.6,"60 rue Mazarine, Paris, Île-de-France region, 75006, France",,,,,
